"TimeGenerated [UTC]",Computer,EventID,RenderedDescription
"6/16/2026, 11:57:15.840 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Delegation  New Logon: 	Security ID:		S-1-5-21-284071044-3268266793-2814020225-2601 	Account Name:		FS-ZTA$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13B9C6 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{8967ab01-c982-da22-48ac-bf0d3fa23d88}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	10.0.1.20 	Source Port:		60488  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:57:13.473 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13B444 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{445b2753-6c9b-1438-8f83-a16acb90f4b3}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	::1 	Source Port:		0  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:57:13.472 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13B444  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:57:13.440 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13B330 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	10.0.1.10 	Source Port:		52276  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:57:13.440 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13B330  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:57:13.432 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13B2D4 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{445b2753-6c9b-1438-8f83-a16acb90f4b3}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	::1 	Source Port:		0  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:57:13.432 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13B2D4  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:57:13.405 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Delegation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13B1E0 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{7ac51d2f-d716-58e3-fb16-661969a58dc7}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	fe80::6281:4404:d084:6b58 	Source Port:		52274  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
"6/16/2026, 11:57:13.405 PM","dc-zta.ztaresearch.local",4672,"Special privileges assigned to new logon.  Subject: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH 	Logon ID:		0x13B1E0  Privileges:		SeSecurityPrivilege 			SeBackupPrivilege 			SeRestorePrivilege 			SeTakeOwnershipPrivilege 			SeDebugPrivilege 			SeSystemEnvironmentPrivilege 			SeLoadDriverPrivilege 			SeImpersonatePrivilege 			SeDelegateSessionUserImpersonatePrivilege 			SeEnableDelegationPrivilege"
"6/16/2026, 11:57:13.399 PM","dc-zta.ztaresearch.local",4624,"An account was successfully logged on.  Subject: 	Security ID:		S-1-0-0 	Account Name:		- 	Account Domain:		- 	Logon ID:		0x0  Logon Information: 	Logon Type:		3 	Restricted Admin Mode:	- 	Virtual Account:		No 	Elevated Token:		Yes  Impersonation Level:		Impersonation  New Logon: 	Security ID:		S-1-5-18 	Account Name:		dc-zta$ 	Account Domain:		ZTARESEARCH.LOCAL 	Logon ID:		0x13B18F 	Linked Logon ID:		0x0 	Network Account Name:	- 	Network Account Domain:	- 	Logon GUID:		{1e83c98b-9e6a-513e-0406-ebbffcea312a}  Process Information: 	Process ID:		0x0 	Process Name:		-  Network Information: 	Workstation Name:	- 	Source Network Address:	fe80::6281:4404:d084:6b58 	Source Port:		52275  Detailed Authentication Information: 	Logon Process:		Kerberos 	Authentication Package:	Kerberos 	Transited Services:	- 	Package Name (NTLM only):	- 	Key Length:		0  This event is generated when a logon session is created. It is generated on the computer that was accessed.  The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.  The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).  The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.  The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.  The impersonation level field indicates the extent to which a process in the logon session can impersonate.  The authentication information fields provide detailed information about this specific logon request. 	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. 	- Transited services indicate which intermediate services have participated in this logon request. 	- Package name indicates which sub-protocol was used among the NTLM protocols. 	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
