EventID,Computer,"TimeGenerated [UTC]","count_"
4662,"fs-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",7
4688,"fs-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",2
4634,"dc-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",22
4624,"dc-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",22
4702,"fs-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",1
4688,"dc-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",2
4672,"dc-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",22
4627,"dc-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",22
4702,"dc-zta.ztaresearch.local","6/17/2026, 12:00:00.000 AM",1
4698,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
4699,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
4611,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",3
4698,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
4699,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
4799,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",8
4662,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",41
4634,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",2
5033,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
4702,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",31
4702,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",31
4616,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
5059,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",7
5061,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",7
4826,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
5058,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",7
4660,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",63
4696,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",1
4663,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",63
4946,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",6
4688,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",239
4948,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",6
5136,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",2
4674,"fs-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",136
4662,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",31
4634,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",86
4769,"dc-zta.ztaresearch.local","6/16/2026, 11:00:00.000 PM",17
